Year Released,Album Length,Album Name,Artist
2001,4484456,The Cali Sessions,Marc Anthony
1999,4366648,Marc Anthony,Marc Anthony
1999,4006393,Marc Anthony,Marc Anthony
1999,4571913,Marc Anthony,Marc Anthony
1997,2696397,Contra La Corriente,Marc Anthony
1995,2604722,Todo A Su Tiempo,Marc Anthony
1993,2245596,Otra Nota,Marc Anthony
1991,3406263,When The Night Is Over,Louie Vega
1991,3395902,When The Night Is Over,Louie Vega
2021,3887890,Utopia Live From MetLife Stadium,Romeo Santos
2019,2844557,Utopia,Romeo Santos
2017,3919451,Golden,Romeo Santos
2017,3921194,Golden,Romeo Santos
2014,413319,"Fórmula, Vol. 2: Track by Track",Romeo Santos
2014,3841795,"Fórmula, Vol. 2 (Clean Version)",Romeo Santos
2014,4168048,"Fórmula, Vol. 2 (Deluxe Edition)",Romeo Santos
2014,4165754,"Fórmula, Vol. 2 (Deluxe Edition) [Clean Version]",Romeo Santos
2012,4725407,The King Stays King - Sold Out at Madison Square Garden,Romeo Santos
2012,4354993,Fórmula Vol. 1 (Deluxe Edition),Romeo Santos
2021,2179754,42,Sech
2020,3792583,1 of 1,Sech
2019,2195367,Rich Music Sessions (Acústico En Vivo),Rich Music LTD
2019,1697637,The Academy,Rich Music LTD
2019,2468532,Sueños,Sech
2018,1566692,The Sensation,Sech
2021,2145156,Recordando A Una Leyenda,Los Plebes del Rancho de Ariel Camacho
2021,1952930,Recordando A Una Leyenda,Los Plebes del Rancho de Ariel Camacho
2021,2354194,AYAYAY! (Súper Deluxe),Christian Nodal
2020,2154313,AYAYAY! (Súper Deluxe),Christian Nodal
2020,1982846,AYAYAY! (Deluxe),Christian Nodal
2020,1078610,AYAYAY!,Christian Nodal
2019,2523570,Ahora,Christian Nodal
2017,2578621,Me Dejé Llevar,Christian Nodal
2021,1274214,CATO SOUNDTRACK,Tiago PZK
2022,2762993,Ley De Gravedad,Luis Fonsi
2019,3153009,VIDA,Luis Fonsi
2017,5510911,2En1,Luis Fonsi
2014,4703966,Lo Mejor De...,Luis Fonsi
2014,2984969,8,Luis Fonsi
2014,2747809,8,Luis Fonsi
2014,3880779,8 (Deluxe),Luis Fonsi
2014,3640726,8 (Deluxe),Luis Fonsi
2014,3313872,Muve Sessions: 8,Luis Fonsi
2013,3356142,Romances,Luis Fonsi
2011,2567916,Tierra Firme,Luis Fonsi
2008,3076756,Palabras Del Silencio,Luis Fonsi
2008,4244714,Palabras Del Silencio (Edición Aniversario - Un Año Despues),Luis Fonsi
2007,3013929,Éxitos 98:06,Luis Fonsi
2007,3053106,Exitos: 98:06,Luis Fonsi
2006,3277479,Exitos: 98:06,Luis Fonsi
2006,3053106,Exitos: 98:06,Luis Fonsi
2006,3500025,Exitos: 98:06 (Bonus Version),Luis Fonsi
2005,2644036,Paso A Paso,Luis Fonsi
2005,2420824,Paso A Paso,Luis Fonsi
2003,2989690,Abrazar La Vida,Luis Fonsi
2002,3090182,Amor Secreto,Luis Fonsi
2002,2831368,Amor Secreto,Luis Fonsi
2002,2591088,Fight The Feeling,Luis Fonsi
2002,3328049,Amor Secreto (A Duo Con Bustamante),Luis Fonsi
2001,3162756,Luis Fonsi: Remixes,Luis Fonsi
2000,3107461,Eterno,Luis Fonsi
1998,2303091,Comenzare,Luis Fonsi
2020,2839999,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny
2020,1819060,LAS QUE NO IBAN A SALIR,Bad Bunny
2020,3958030,YHLQMDLG,Bad Bunny
2019,1866504,OASIS,J Balvin
2018,3236579,X 100PRE,Bad Bunny
2020,2208420,TINI TINI TINI,TINI
2018,2138077,Quiero Volver,TINI
2016,3067359,TINI (Martina Stoessel),TINI
2016,4305005,TINI (Martina Stoessel) [Deluxe Edition],TINI
2021,1449478,DYNASTY,Tainy
2021,1517962,The SpongeBob Movie: Sponge On The Run (Original Motion Picture Soundtrack),Tainy
2020,1218058,NEON16 TAPE: THE KIDS THAT GREW UP ON REGGAETON,Tainy
2020,1218058,NEON16 TAPE: THE KIDS THAT GREW UP ON REGGAETON,Tainy
2007,8231031,Los Benjamins - La Continuacion,Luny Tunes
2006,4075262,Mas Flow - Los Benjamins,Luny Tunes
2017,3787673,Victory,Wisin
2015,5683045,Los Vaqueros: La Trilogía,Wisin
2014,3194822,El Regreso del Sobreviviente,Wisin
2014,4949246,El Regreso del Sobreviviente (Deluxe Edition),Wisin
2004,2682781,El Sobreviviente,Wisin
2021,1338597,Temporada de Reggaetón,Duki
2021,2021171,Vivo Desde el Fin del Mundo,Duki
2021,3429739,Desde el Fin del Mundo,Duki
2020,1441267,24,Duki
2019,1957507,Súper Sangre Joven,Duki
2021,6307526,Los Bandoleros Reloaded,Don Omar
2021,4785536,Los Bandoleros,Don Omar
2021,2111317,Remix Album,Don Omar
2019,1976983,The Last Album,Don Omar
2015,2613823,The Last Don II,Don Omar
2012,3276503,Don Omar Presents MTO2: New Generation,Don Omar
2010,3832410,Meet The Orphans,Don Omar
2010,3522077,Meet The Orphans,Don Omar
2010,4628301,Meet The Orphans (Deluxe Version),Don Omar
2010,3323291,Meet The Orphans (International Version),Don Omar
2009,2540302,iDon,Don Omar
2009,2540302,iDon (Exclusive Track Version),Don Omar
2009,2331129,iDon,Don Omar
2007,4401087,King Of Kings (En Directo),Don Omar
2006,4328942,King Of Kings,Don Omar
2006,4328942,King Of Kings,Don Omar
2006,4199167,King Of Kings,Don Omar
2006,4207249,King Of Kings,Don Omar
2006,4208195,King Of Kings,Don Omar
2006,4207249,King Of Kings,Don Omar
2006,5129978,King Of Kings (Armageddon Edition),Don Omar
2004,3344542,"The Gold Series ""The Last Don""",Don Omar
2004,5950139,The Last Don Live,Don Omar
2003,2791115,The Last Don,Don Omar
2019,1930838,Ahora,Reik
2016,2248036,Des/Amor,Reik
2013,5574260,Reik En Vivo Auditorio Nacional,Reik
2012,4054007,Peligro,Reik
2011,3477329,Peligro,Reik
2008,3080196,Un Dia Mas (Edicion Especial),Reik
2007,3728996,Reik Sesion Metropolitana,Reik
2006,2267197,Secuencia,Reik
2005,2235289,Reik,Reik
2005,2235289,Reik,Reik
